Dataset,K,C_V
20NG,50,0.5414
20NG,100,0.5334
AGNews,50,0.4128
AGNews,100,0.4206
IMDB,50,0.388
IMDB,100,0.3853
YahooAnswer,50,0.6247
YahooAnswer,100,0.583
