Dataset,K,C_V
20NG,50,0.4369
20NG,100,0.3517
IMDB,50,0.3091
IMDB,100,0.2854
YahooAnswer,50,0.4748
YahooAnswer,100,0.5175
AGNews,50,0.483
AGNews,100,0.406
