Dataset,K,TD,Purity,NMI
20NG,50,0.394,0.268,0.229
20NG,100,0.158,0.248,0.221
IMDB,50,0.348,0.595,0.017
IMDB,100,0.204,0.605,0.021
YahooAnswer,50,0.27,0.236,0.086
YahooAnswer,100,0.172,0.283,0.113
AGNews,50,0.618,0.59,0.188
AGNews,100,0.397,0.626,0.191
