Dataset,K,CV,TD,Purity,NMI
20NG,20,0.384,0.73,0.412,0.432
20NG,50,0.38,0.649,0.477,0.414
20NG,100,0.374,0.627,0.512,0.414
AGNews,20,0.388,0.783,0.74,0.303
AGNews,50,0.378,0.804,0.718,0.248
AGNews,100,0.377,0.822,0.716,0.228
IMDB,20,0.345,0.597,0.727,0.091
IMDB,50,0.349,0.663,0.702,0.074
IMDB,100,0.345,0.697,0.705,0.068
YahooAnswer,20,0.343,0.713,0.447,0.254
YahooAnswer,50,0.351,0.744,0.463,0.248
YahooAnswer,100,0.355,0.74,0.448,0.232
