Dataset,K,C_V
20NG,50,0.4228
20NG,100,0.4169
IMDB,50,0.3825
IMDB,100,0.3257
YahooAnswer,50,0.5922
YahooAnswer,100,0.5189
AGNews,50,0.4055
AGNews,100,0.4575
