Dataset,K,TD,Purity,NMI
20NG,50,0.604,0.544,0.546
20NG,100,0.486,0.614,0.552
IMDB,50,0.606,0.678,0.061
IMDB,100,0.51,0.628,0.038
YahooAnswer,50,0.624,0.57,0.334
YahooAnswer,100,0.53,0.553,0.307
AGNews,50,0.662,0.808,0.38
AGNews,100,0.595,0.766,0.316
