Dataset,K,C_V
20NG,50,0.4086
20NG,100,0.2996
IMDB,50,0.3858
IMDB,100,0.3493
YahooAnswer,50,0.3604
YahooAnswer,100,0.3438
AGNews,50,0.3366
AGNews,100,0.3793
