Dataset,K,TD,Purity,NMI
20NG,50,0.64,0.534784917684546,0.5228793122535552
20NG,100,0.284,0.4038767923526288,0.49036730562404823
IMDB,50,0.494,0.711,0.0784939497996815
IMDB,100,0.138,0.72032,0.11083396503246357
YahooAnswer,50,0.414,0.5596,0.3368618384561433
YahooAnswer,100,0.151,0.3536,0.22893831077625024
AGNews,50,0.27,0.6288,0.38090460531174597
AGNews,100,0.104,0.8072,0.5194843009300166
