Dataset,K,C_V_Palmetto
20NG,50,0.4462082057814317
20NG,100,0.4010796187753573
IMDB,50,0.3510150139453996
IMDB,100,0.28646776687710046
YahooAnswer,50,0.6725548894946737
YahooAnswer,100,0.428610180391927
AGNews,50,0.3781734721692411
AGNews,100,0.38717119687215756
