model,dataset,K,seed,device,phase,train_seconds,total_seconds,train_minutes,total_minutes,epochs_cfg,epochs_ran,amp_requested,amp,amp_fallback_to_fp32,amp_dtype,early_stopped,best_loss
ECRTM_v2_SPEED,20NG,20,42,cuda,train,1081.9509693369998,1086.4657808270001,18.032516155616666,18.107763013783334,500,500,True,True,False,torch.bfloat16,False,826.3738820929276
ECRTM_v2_SPEED,20NG,50,42,cuda,train,1085.460907788,1086.437622648,18.0910151298,18.107293710799997,500,500,True,True,False,torch.bfloat16,False,836.5311514871162
ECRTM_v2_SPEED,20NG,100,42,cuda,train,1107.0575968689996,1107.9867378980002,18.45095994781666,18.466445631633338,500,500,True,True,False,torch.bfloat16,False,864.4157083076343
ECRTM_v2_SPEED,AGNews,20,42,cuda,train,965.5812679239998,966.3021765200001,16.093021132066664,16.105036275333337,500,500,True,True,False,torch.bfloat16,False,144.86918395996094
ECRTM_v2_SPEED,AGNews,50,42,cuda,train,959.7176081350008,960.3382810700004,15.99529346891668,16.00563801783334,500,500,True,True,False,torch.bfloat16,False,146.53161865234375
ECRTM_v2_SPEED,AGNews,100,42,cuda,train,961.2606841060006,961.8643025779993,16.021011401766675,16.03107170963332,500,500,True,True,False,torch.bfloat16,False,149.43839447021483
ECRTM_v2_SPEED,IMDB,20,42,cuda,train,2212.6195324240007,2215.0471491299995,36.87699220706668,36.91745248549999,500,500,True,True,False,torch.bfloat16,False,710.33528125
ECRTM_v2_SPEED,IMDB,50,42,cuda,train,2387.5537879580006,2389.7578929479987,39.79256313263334,39.82929821579998,500,500,True,True,False,torch.bfloat16,False,724.762048828125
ECRTM_v2_SPEED,IMDB,100,42,cuda,train,2414.627782128,2416.883139976,40.2437963688,40.28138566626667,500,500,True,True,False,torch.bfloat16,False,751.693044921875
ECRTM_v2_SPEED,YahooAnswer,20,42,cuda,train,970.9613635640017,971.6244258139996,16.182689392733362,16.193740430233326,500,500,True,True,False,torch.bfloat16,False,260.64881408691406
ECRTM_v2_SPEED,YahooAnswer,50,42,cuda,train,977.0537802250001,977.6563774730021,16.284229670416668,16.29427295788337,500,500,True,True,False,torch.bfloat16,False,275.555368347168
ECRTM_v2_SPEED,YahooAnswer,100,42,cuda,train,984.1911347009991,984.7903402609991,16.403185578349984,16.413172337683317,500,500,True,True,False,torch.bfloat16,False,302.97694091796876
