Dataset,K,C_V,TD,Purity,NMI
20NG,20,0.6742,0.935,0.5451,0.5532
20NG,50,0.4541,0.97,0.5625,0.5125
20NG,100,0.4607,0.912,0.5328,0.4881
AGNews,20,0.436,0.855,0.4476,0.1776
AGNews,50,0.4927,1.0,0.6316,0.2683
AGNews,100,0.5406,1.0,0.3952,0.2077
IMDB,20,0.5472,0.985,0.6999,0.0797
IMDB,50,0.4,0.974,0.6749,0.0506
IMDB,100,0.3825,0.905,0.7062,0.0524
YahooAnswer,20,0.4518,0.995,0.5452,0.3185
YahooAnswer,50,0.4689,1.0,0.5288,0.2912
YahooAnswer,100,0.4869,0.917,0.558,0.3077
